kick_distance,fg_attempts,fg_made,fg_success_rate
18,6,6,1
19,59,59,1
20,165,164,0.9939393939393939
21,226,226,1
22,261,257,0.9846743295019157
23,292,289,0.9897260273972603
24,242,237,0.9793388429752066
25,267,263,0.9850187265917603
26,258,252,0.9767441860465116
27,312,300,0.9615384615384616
28,337,326,0.967359050445104
29,345,327,0.9478260869565217
30,310,300,0.967741935483871
31,319,308,0.9655172413793103
32,286,273,0.9545454545454546
33,384,366,0.953125
34,329,299,0.9088145896656534
35,337,310,0.9198813056379821
36,329,296,0.899696048632219
37,347,316,0.9106628242074928
38,380,332,0.873684210526316
39,326,290,0.8895705521472393
40,337,296,0.8783382789317506
41,327,265,0.8103975535168195
42,322,265,0.8229813664596273
43,384,308,0.8020833333333333
44,321,262,0.8161993769470406
45,356,270,0.7584269662921349
46,343,260,0.7580174927113703
47,326,233,0.714723926380368
48,423,291,0.6879432624113474
49,311,234,0.752411575562701
50,329,236,0.7173252279635257
51,300,214,0.7133333333333334
52,320,222,0.6937500000000001
53,314,213,0.678343949044586
54,232,160,0.6896551724137928
55,184,109,0.592391304347826
56,124,75,0.6048387096774194
57,91,54,0.5934065934065934
58,60,32,0.5333333333333333
59,34,20,0.5882352941176471
60,21,7,0.33333333333333337
61,22,9,0.40909090909090906
62,13,6,0.46153846153846156
63,14,3,0.21428571428571427
64,3,0,0
65,6,1,0.16666666666666666
66,2,1,0.5
67,2,0,0
68,3,0,0
70,2,0,0
