yardline_100,ydstogo,decision,prob
1,1,field_goal,0.1493212669683258
1,1,go_for_it,0.8506787330316742
1,6,go_for_it,1
2,1,field_goal,0.1891891891891892
2,1,go_for_it,0.8108108108108109
2,2,field_goal,0.5555555555555556
2,2,go_for_it,0.4444444444444444
3,1,field_goal,0.10416666666666667
3,1,go_for_it,0.8958333333333334
3,2,field_goal,0.5666666666666667
3,2,go_for_it,0.43333333333333335
3,3,field_goal,0.7224199288256228
3,3,go_for_it,0.2775800711743772
4,1,field_goal,0.17391304347826086
4,1,go_for_it,0.8260869565217391
4,2,field_goal,0.5128205128205128
4,2,go_for_it,0.48717948717948717
4,3,field_goal,0.696969696969697
4,3,go_for_it,0.30303030303030304
4,4,field_goal,0.7617021276595745
4,4,go_for_it,0.23829787234042554
5,1,field_goal,0.2033898305084746
5,1,go_for_it,0.7966101694915254
5,2,field_goal,0.6071428571428571
5,2,go_for_it,0.39285714285714285
5,3,field_goal,0.7692307692307693
5,3,go_for_it,0.23076923076923078
5,4,field_goal,0.8571428571428571
5,4,go_for_it,0.14285714285714285
5,5,field_goal,0.8487394957983193
5,5,go_for_it,0.15126050420168066
6,1,field_goal,0.275
6,1,go_for_it,0.725
6,2,field_goal,0.5588235294117647
6,2,go_for_it,0.4411764705882353
6,3,field_goal,0.5714285714285714
6,3,go_for_it,0.42857142857142855
6,4,field_goal,0.7391304347826086
6,4,go_for_it,0.2608695652173913
6,5,field_goal,0.9
6,5,go_for_it,0.1
6,6,field_goal,0.7861271676300579
6,6,go_for_it,0.2138728323699422
7,1,field_goal,0.27906976744186046
7,1,go_for_it,0.7209302325581395
7,2,field_goal,0.5
7,2,go_for_it,0.5
7,3,field_goal,0.8
7,3,go_for_it,0.2
7,4,field_goal,0.7241379310344828
7,4,go_for_it,0.27586206896551724
7,5,field_goal,0.8636363636363636
7,5,go_for_it,0.13636363636363635
7,6,field_goal,0.8518518518518519
7,6,go_for_it,0.14814814814814814
7,7,field_goal,0.852760736196319
7,7,go_for_it,0.147239263803681
8,1,field_goal,0.36666666666666664
8,1,go_for_it,0.6333333333333333
8,2,field_goal,0.5333333333333333
8,2,go_for_it,0.4666666666666667
8,3,field_goal,0.75
8,3,go_for_it,0.25
8,4,field_goal,0.782608695652174
8,4,go_for_it,0.21739130434782608
8,5,field_goal,0.8108108108108109
8,5,go_for_it,0.1891891891891892
8,6,field_goal,0.8421052631578947
8,6,go_for_it,0.15789473684210525
8,7,field_goal,0.8611111111111112
8,7,go_for_it,0.1388888888888889
8,8,field_goal,0.890625
8,8,go_for_it,0.109375
9,1,field_goal,0.36363636363636365
9,1,go_for_it,0.6363636363636364
9,2,field_goal,0.5714285714285714
9,2,go_for_it,0.42857142857142855
9,3,field_goal,0.6666666666666666
9,3,go_for_it,0.3333333333333333
9,4,field_goal,0.7777777777777778
9,4,go_for_it,0.2222222222222222
9,5,field_goal,0.7894736842105263
9,5,go_for_it,0.21052631578947367
9,6,field_goal,1
9,7,field_goal,1
9,8,field_goal,0.9047619047619048
9,8,go_for_it,0.09523809523809523
9,9,field_goal,0.8956521739130435
9,9,go_for_it,0.10434782608695652
10,1,field_goal,0.24444444444444444
10,1,go_for_it,0.7555555555555555
10,2,field_goal,0.5555555555555556
10,2,go_for_it,0.4444444444444444
10,3,field_goal,0.8888888888888888
10,3,go_for_it,0.1111111111111111
10,4,field_goal,0.8387096774193549
10,4,go_for_it,0.16129032258064516
10,5,field_goal,0.8285714285714286
10,5,go_for_it,0.17142857142857143
10,6,field_goal,0.9615384615384616
10,6,go_for_it,0.038461538461538464
10,7,field_goal,0.84375
10,7,go_for_it,0.15625
10,8,field_goal,0.9354838709677419
10,8,go_for_it,0.06451612903225806
10,9,field_goal,0.9375
10,9,go_for_it,0.0625
10,10,field_goal,0.9259259259259259
